Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Population
India,43259607,524792,42674712,60092,1406458323
S. Korea,18256457,24407,18055924,176126,51355201
Turkey,15085742,98996,14986340,406,86108553
Vietnam,10734151,43083,9574270,1116798,99046217
Japan,9092521,30963,8915068,146490,125721785
Iran,7234221,141357,7059738,33126,86089087
Indonesia,6063251,156670,5900574,6007,279163045
DPRK,4558260,73,4511950,46237,25999077
Malaysia,4535632,35725,4473021,23886,33174540
Thailand,4492913,30406,4441305,21202,70141437
Israel,4205424,10882,4158155,36387,9326000
Philippines,3694121,60461,3630449,3211,112424801
Taiwan,3072432,4546,1635666,1432220,23900813
Iraq,2330735,25225,2303651,1859,41982085
Bangladesh,1954637,29131,1905504,20002,167888506
Jordan,1697271,14063,1682962,241,10400629
Georgia,1658240,16826,1637293,4121,3974241
Pakistan,1531575,30382,1496123,5070,229254416
Singapore,1352681,1401,1269307,81973,5940052
Kazakhstan,1305887,13663,1292125,99,19214619
Hong Kong,1221808,9392,1197699,14717,7615571
Lebanon,1101508,10447,1087587,3474,6765872
Nepal,979297,11952,967248,97,30158527
Mongolia,926282,2179,0,0,3381220
UAE,921566,2305,902447,16814,10123396
Azerbaijan,792884,9715,783019,150,10317365
Saudi Arabia,781168,9179,762215,9774,35870958
Sri Lanka,663965,16519,646985,461,21588294
Kuwait,637470,2555,631844,3071,4393711
Myanmar,613464,19434,592466,1564,55120972
Bahrain,599924,1490,589213,9221,1816859
Palestine,582890,5356,577303,231,5332598
Cyprus,491777,1067,124370,366340,1224495
Armenia,423006,8629,412661,1716,2974040
Oman,389758,4260,384669,829,5359802
Qatar,373691,677,369976,3038,2807805
Uzbekistan,239319,1637,237512,227,34414942
China,225118,5226,218944,948,1439323776
Laos,210173,757,0,0,7481404
Kyrgyzstan,201016,2991,196406,1619,6734057
Afghanistan,181178,7710,163215,10253,40637475
Maldives,179979,299,163687,15993,559105
Brunei,154133,225,150865,3043,445647
Cambodia,136262,3056,133206,0,17170102
Bhutan,59644,21,59616,7,788174
Syria,55909,3150,52738,21,18329420
Timor Leste,22928,133,22774,21,1367403
Tajikistan,17388,124,17264,0,9955268
Yemen,11822,2149,9107,566,31106581
Macao,83,0,83,0,666593
